Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 15 anos ou mais de idade 2010,Produto Interno Bruto per capita 2013,Produto Interno Bruto per capita 2014,Produto Interno Bruto per capita 2015,Produto Interno Bruto per capita 2016,Taxa de mortalidade infantil 2013,Taxa de mortalidade infantil 2014,Taxa de mortalidade infantil 2015,Taxa de mortalidade infantil 2016,Taxa de mortalidade infantil 2017,% de meninas de 10 a 14 anos de idade que tiveram filhos 2013,% de meninas de 10 a 14 anos de idade que tiveram filhos 2014,% de meninas de 10 a 14 anos de idade que tiveram filhos 2015,% de meninas de 10 a 14 anos de idade que tiveram filhos 2016,% de meninas de 10 a 14 anos de idade que tiveram filhos 2017,% de pobres 2010
Prudentópolis (PR),73.4,15,7.9,13.3,13.21,13.04,13.53,9.45,13.4,8.62,13.22,12.03,0.63,0.27,0.57,0.73,0.6,16.72
Pugmil (TO),73.55,17.2,12.97,12.69,15.1,12.38,13.65,32.26,0,0,25,0,,2.94,,7.5,3.13,19.01
Pureza (RN),71.46,22.5,28.22,6.04,5.29,5.46,5.59,7.75,26.14,24.39,0,36.76,1.55,,3.25,3.88,1.47,54.16
Putinga (RS),77.39,9.8,8.6,14.91,15.73,15.2,14.5,40,0,0,0,0,,,,,,3.34
Puxinanã (PB),70.23,26.7,21.59,4.78,4.84,4.77,4.38,9.76,13.51,18.52,9.95,14.29,,,0.62,1,,33.32
Quadra (SP),74.3,15.8,9.25,18.68,18.46,19.06,16.57,50,0,0,0,19.23,,3.13,,,1.92,9.37
Quaraí (RS),76.14,11.3,5.6,11.25,12.11,12.44,11.83,7.04,3.27,11.28,18.66,24.69,1.76,1.31,0.38,0.37,0.31,16.89
Quartel Geral (MG),75.74,14.2,12.02,9.74,9.35,8.46,8.93,31.25,28.57,0,0,0,3.13,,,,,8.26
Quarto Centenário (PR),74.11,13.9,12.76,29.8,28.19,28.38,30.7,32.79,15.87,17.24,21.28,18.18,3.28,,1.72,2.13,,10.8
Quatá (SP),73.84,16.6,8.04,21.14,22.46,20.69,21.77,12.58,10.53,10.53,18.52,6.71,1.89,1.05,0.53,0.62,1.34,3.75
Quatiguá (PR),73.2,15.2,8.46,13.05,20.96,15.43,15.77,23.53,10.64,10.64,54.95,0,,,2.13,,,6.27
Quatipuru (PA),68.89,30.4,22.93,4.64,4.3,4.19,4.2,5.56,11.56,6.33,0,11.83,4.44,4.05,1.27,3.57,2.37,52.44
Quatis (RJ),73.38,16.4,6.75,16.45,15.5,12.99,12.07,20.1,15.54,0,7.19,0,1.01,2.07,0.53,0.72,0.59,10.71
Quatro Barras (PR),74.87,12.9,4.7,60.4,41.03,38.09,36.98,28.09,5.43,14.01,6.02,17.96,,,0.56,0.6,0.3,3.92
Quatro Irmãos (RS),74.98,12.8,9.7,36.93,37.3,39.26,41.66,0,95.24,0,0,0,,,,,,11.12
Quatro Pontes (PR),75.3,12.3,1.24,24.9,28.94,25.57,26.46,0,23.26,0,39.22,0,,,,,,0.93
Quebrangulo (AL),71.52,24.8,32.23,4.88,5.02,5.33,5.78,12.05,12.82,24.51,5.1,21.51,0.6,0.85,0.49,1.02,1.61,49.56
Quedas do Iguaçu (PR),72.65,17.1,11.14,32.15,23.21,24.67,25.35,15.7,11.52,4.06,8.62,11.86,1.35,0.46,1.22,0.43,0.79,20.83
Queimada Nova (PI),70.45,26.5,31.3,4.24,4.47,4.73,4.73,0,32.26,10.53,31.25,9.35,,,1.05,,0.93,56.59
Queimadas (BA),70.84,24.9,23.61,4.74,4.83,5.42,5.21,13.25,15.43,6.25,15.15,6.58,2.32,0.93,0.94,1.52,1.64,43.24
Queimadas (PB),72.73,21.33,22.56,7.14,7.13,6.8,6.64,12.68,14.37,10.91,6.75,25.3,1.11,1.15,1.09,0.67,0.89,31.78
Queimados (RJ),73.58,16.67,5.68,21.67,21.65,24.63,21.45,18.95,14.25,13.72,18.44,19.07,1.14,0.86,0.67,0.61,0.75,12.92
Queiroz (SP),73.65,16.9,13.24,64.71,93.5,90.02,88.33,0,0,0,19.61,0,2.22,,,3.92,1.79,10.76
Queluzito (MG),74.39,16.3,6.79,8.47,8.9,9.06,9.39,,,,,,,,,,,8.58
Queluz (SP),74.38,15.7,6.53,12.77,12.56,12.18,12.37,24.79,18.35,24.39,7.41,9.01,0.83,1.83,0.81,,0.9,11.06
Querência do Norte (PR),73.48,14.8,15.36,11.23,10.87,11.11,10.82,15.63,11.7,16.67,5.56,0,2.08,1.75,1.67,1.11,1.75,15
Querência (MT),75.19,15.1,8.18,49.64,52.57,54.32,49.9,6.8,14.66,13.44,19.23,8.26,0.68,0.88,1.61,0.82,1.38,13.19
Quevedos (RS),74.45,13.5,8.72,37.97,34.71,33.81,34.61,0,0,0,0,0,,,,,,22.23
Quijingue (BA),66.36,39.9,34.47,4.45,3.9,4.83,4.53,25.72,16.34,18.8,19.23,11.02,0.32,0.33,0.38,1.28,1.65,50.84
Quilombo (SC),74.93,13.7,8.22,37.13,25.59,24.07,23.46,13.42,7.94,26.79,7.3,0,1.34,,0.89,,0.7,5.7
Quinta do Sol (PR),75.51,12,16.45,21.97,21.7,21.25,22.62,20,0,12.66,0,13.7,,,1.27,,,6.99
Quintana (SP),73.65,16.9,9.46,16.07,16.23,14.25,15.6,13.16,34.09,25.97,0,23.53,,,,2.47,,7.23
Quinze de Novembro (RS),75.48,12.1,3.56,29.88,26.6,24.35,23.73,0,0,47.62,0,48.78,,,,,,2.84
Quipapá (PE),69.57,28.2,36.45,4.76,5.16,4.89,4.98,11.7,20.23,8.88,5.97,10.56,2.63,2.02,0.89,0.9,0.7,46.59
Quirinópolis (GO),76.76,12.2,9.91,23.41,22.42,20.94,21.96,11.51,11.4,16.71,18.84,13.95,2.47,0.71,0.56,1.57,0.78,3.45
Quissamã (RJ),74.23,15.2,8.84,186.17,161.75,76.74,28.58,9.55,11.73,9.76,9.29,15.72,0.96,1.76,1.71,0.93,0.31,12.4
Quitandinha (PR),73.37,15,7.11,12.04,11.64,12.31,10.88,9.66,16.22,0,21.55,4.15,1.45,1.62,0.9,,0.41,17.87
Quiterianópolis (CE),71.46,22.3,32.81,4.15,5.35,4.45,4.52,21.74,23.81,11.58,14.02,24.79,0.87,0.4,0.77,1.4,2.89,49.89
Quixabá (PB),69.2,29.9,26.24,6.46,6.78,6.89,6.69,,,,,,,4.35,2.78,3.85,,34.31
Quixaba (PE),70.14,26.5,28.18,4.56,4.95,4.35,4.77,0,20.2,11.63,0,11.49,,2.02,,,1.15,44.68
Quixabeira (BA),70.19,26.8,30.83,3.93,4.04,4.19,4.18,0,0,0,9.09,0,1.12,0.93,2.88,0.91,1.04,44.39
Quixadá (CE),71.52,22.2,22.94,7.3,7.63,7.56,7.51,22.71,17.86,16.48,17.23,19.89,0.93,0.89,0.94,1.02,1.45,36.21
Quixelô (CE),68.49,31.2,36.7,5.02,5.7,5.18,5.38,16.22,11.76,4.46,24.54,11.11,1.62,,0.45,3.07,0.56,45.02
Quixeramobim (CE),72.33,20,24.2,6.68,7.35,6.98,7.43,11.87,13.59,7.6,15.83,21.64,0.99,1.27,1.1,1.49,0.75,38.37
Quixeré (CE),71.44,22.4,26.03,19.33,18.26,12.96,9.89,3.97,23.81,18.75,7.58,14.76,2.38,0.68,0.94,0.76,0.37,34.25
Rafael Fernandes (RN),69.24,29,24.43,5.29,5.18,5.38,5.19,0,29.85,19.23,0,0,1.54,,3.85,3.92,1.64,29.99
Rafael Godeiro (RN),72.32,20.2,25.81,5.63,5.48,5.31,5.49,0,0,22.22,0,0,,,2.22,,,34.67
Rafael Jambeiro (BA),71.06,24.3,29.78,7.47,6.17,5.97,5.92,14.71,14.6,10.68,21.43,14.39,1.1,1.09,1.07,0.71,,45.52
Rafard (SP),74.37,15.7,4.74,21.22,21.81,20.59,22.52,0,17.24,9.9,11.36,9.26,1.14,1.72,1.98,,,3.48
Ramilândia (PR),73.11,15.4,15.37,13.62,13.35,12.54,12.72,29.85,0,0,0,15.15,2.99,,,,3.03,21.21
Rancharia (SP),76.64,12.3,7.24,25.58,23.6,23.78,25.67,15.5,10.23,13.66,20.55,22.96,0.26,,1.37,0.91,1.28,5.23
Rancho Alegre D'Oeste (PR),74.86,12.9,13.83,29.65,32.95,30.33,32.82,0,28.57,0,117.65,0,3.57,2.86,,5.88,2.38,8.82
Rancho Alegre (PR),73.5,14.8,11.08,17.92,14.33,16.44,16.6,0,0,19.23,23.26,0,,2.33,,,3.7,10.53
Rancho Queimado (SC),78.59,9.1,6.98,27.16,25.52,25.91,24.87,83.33,80,33.33,33.33,0,,,,,,1.92
Raposa (MA),69.11,32.3,15.27,5.25,5.31,4.35,4.61,14.89,15.93,18.26,14.64,11.95,1.28,2.48,1.14,1.67,1.39,33.44
Raposos (MG),74.9,15.5,5.01,6.67,6.76,6.26,7.39,4.44,8.81,5.56,19.23,20.3,0.44,0.44,1.11,,1.52,7.46
Raul Soares (MG),74.36,16.3,13.89,7.33,7.68,7.73,8.05,9.01,10.91,7.69,14.08,11.11,,0.36,0.38,,0.37,20.58
Realeza (PR),74.82,13,7.82,20.42,20.84,22.35,22.5,26.67,5.13,12.61,4.17,14.29,0.44,1.03,,0.83,,6.11
Rebouças (PR),73.82,14.3,6.85,15.99,15.34,14.8,14.45,14.78,19.14,8.7,18.6,17.09,0.49,,0.43,1.4,,23.22
Recife (PE),74.5,15.56,7.13,24.47,24.72,21.45,20.23,12.38,11.95,10.48,11.91,10.83,0.89,0.81,0.78,0.62,0.61,13.2
Recreio (MG),75.45,14.6,11.38,5.84,6.09,5.65,5.54,10.53,10.1,9.62,23.53,10.2,,1.01,,,,12.49
Recursolândia (TO),69.25,28.9,27.63,6.37,6.35,6.66,6.62,13.51,35.09,29.41,37.74,18.52,2.7,1.75,1.47,1.89,7.41,65.2
Redenção (CE),70,26.5,24.32,6.25,6.92,7.11,5.9,21.22,15.98,8.83,7.98,2.42,0.8,0.91,0.44,,1.21,38.32
Redenção da Serra (SP),72.95,18.1,10.4,9.3,8.81,9.43,9.11,25,0,0,0,20,,,,,,14.96
Redenção do Gurguéia (PI),70.98,24.9,21.78,4.68,5,4.97,4.54,12.05,6.58,7.52,8.2,7.09,1.2,3.29,1.5,2.46,2.84,48.55
Redenção (PA),73.23,18.1,11.62,11.61,12.98,13.12,13.37,15.84,17.57,14.11,18.44,17.21,1.71,1.33,2.41,1.35,1.61,15.48
Redentora (RS),72.52,16.4,16.28,10.09,9.71,9.37,9.69,20.62,18.87,4.9,12.82,16.3,1.55,6.13,5.39,1.92,2.17,43.55
Reduto (MG),73.08,18.5,13.33,7.34,7.89,8.05,8.02,23.81,0,24.69,0,0,3.57,0.85,,1.05,,20.49
Regeneração (PI),67.85,34.9,31.82,4.72,5.16,5.5,5.24,21.9,0,6.92,11.49,3.77,1.82,1.78,2.42,0.77,1.51,40.9
Regente Feijó (SP),74.1,16.2,7.34,23.6,22.36,20.98,20.45,31.25,3.86,16.74,0,4.03,1.34,0.39,0.42,,,3.5
Reginópolis (SP),74.04,16.3,8.33,8.71,9.91,8.13,9.73,27.03,15.38,0,0,0,2.7,,,,1.52,7.19
Registro (SP),76.08,13.1,5.58,19.39,25.91,21.74,21.48,21.09,15.84,10.48,11.68,6.31,1.11,1.27,0.73,0.82,0.5,10.24
Relvado (RS),77.05,10.2,4.7,16.2,16.39,15.49,14.87,0,83.33,0,0,0,,,,11.11,,2.86
Remanso (BA),70.41,26.2,27.45,4.87,5.07,5.24,4.98,10.89,18.1,12.8,18.41,7.46,1.24,1.06,1,1.13,1.79,42.6
Remígio (PB),72.83,19.5,30.7,5.69,5.75,5.72,5.16,3.52,3.46,18.66,7.22,17.79,0.7,,1.12,1.08,1.42,38.78
Renascença (PR),75.25,12.4,9.74,24.97,23.51,22.67,23.96,23.26,20,11.11,9.71,22.99,2.33,1,3.33,,,12.52
Reriutaba (CE),70.63,24.6,29.25,5.21,5.49,5.33,5.16,17.62,28.69,9.95,9.48,29.79,0.88,3.28,,0.95,0.43,50.02
Resende Costa (MG),74.4,16.3,5.93,7.74,7.92,7.56,9,35.97,6.76,7.81,8.93,26.32,0.72,0.68,0.78,,,9.27
Resende (RJ),75.31,13.85,4.21,61.08,49.12,36.81,33.35,12.69,13.31,8.83,14.43,13.64,1.04,0.5,0.39,0.52,0.45,5.28
Reserva do Cabaçal (MT),72.93,18.8,17.89,54.63,66,54.82,9.62,0,0,0,0,0,,,,,,16.24
Reserva do Iguaçu (PR),74.21,13.8,11.96,14.09,12.05,11.06,12.45,0,38.46,0,18.87,9.17,1.79,0.77,3.33,0.94,0.92,27.81
Reserva (PR),72.13,16.9,14.76,15.7,13.41,14.33,14.12,15.35,22.11,14.74,10.05,10.1,2.3,1.72,1.23,0.5,0.51,20.38
Resplendor (MG),74.99,15.4,14.76,10.3,10.32,9.22,8.75,54.05,18.1,27.4,15.96,19.51,0.54,,,,,17.92
Ressaquinha (MG),75.01,15.3,10.72,23.04,21.84,24.49,24.86,0,18.87,19.23,0,0,,,,,,15.2
Restinga Seca (RS),74.7,13.2,7.11,16.55,16.95,16.87,16.38,29.94,0,0,15.08,18.87,,0.61,,0.5,,8.94
Restinga (SP),74.55,15.4,8.99,14.21,14.95,15.26,15.94,18.02,0,17.7,10.2,17.54,0.9,,,,0.88,8.2
Retirolândia (BA),71.36,23.4,19.21,5.16,5.34,5.81,5.27,17.7,19.51,0,5.24,4.61,1.77,1.46,,1.05,0.46,31.79
Riachão das Neves (BA),71.73,22.4,30.16,14.46,16.72,22.7,13.46,25.56,20.41,25.4,7.33,10.17,2.88,1.02,2.22,2.2,1.69,47.3
Riachão do Bacamarte (PB),68.26,33,35.81,5.56,5.92,5.96,5.75,31.25,0,12.99,13.16,14.71,,4.69,1.3,2.63,,40.26
Riachão do Dantas (SE),71.87,22.2,29.23,6.49,6.11,6.75,6.96,18.46,14.49,11.28,8,12.1,0.62,0.36,0.38,0.8,1.21,50.24
Riachão do Jacuípe (BA),70.29,26.5,17.98,5.14,5.59,5.67,6.22,15.54,12.76,7.61,10.08,16.71,1.3,0.77,0.76,1.01,0.24,28.11
Riachão do Poço (PB),69.89,27.7,33.63,5.83,6.09,6.22,6.04,16.13,0,0,19.23,29.41,,2,1.45,,,43.06
Riachão (MA),70.43,28,20.09,10.52,10.47,9.71,7.24,18.63,13.93,8.43,18.37,13.74,2.48,1.39,0.84,1.57,1.37,46.22
Riachão (PB),70.75,25.2,31.48,5.28,5.45,5.41,5.36,0,0,16.39,0,42.55,1.85,1.82,,4.65,2.13,47.37
Riachinho (MG),72.71,19.1,14,8.23,7.64,7.41,8.02,0,0,0,13.89,13.33,2.86,2.67,1.23,1.39,,33.66
Riachinho (TO),70.6,24.8,22.56,6.87,6.64,6.47,6.43,32.26,0,0,14.93,16.67,,,,1.49,5,50.83
Riacho da Cruz (RN),70.03,26.6,25.85,5.46,5.5,5.44,5.24,23.81,0,0,0,0,,,,,,39.06
Riacho das Almas (PE),70.39,25.8,34.47,5.56,6.28,5.64,5.01,10.83,11.56,13.65,0,9.55,,2.31,0.68,0.8,0.64,34.47
Riacho de Santana (BA),70.82,25,27.54,4.14,4.74,4.38,4.43,26.63,11.19,16.91,15.42,7.96,0.73,1.57,0.24,0.77,1.06,43
Riacho de Santana (RN),71.56,22.2,27.45,5.27,5.56,5.03,4.68,0,45.45,16.67,0,18.18,,,,6.25,1.82,42.55
Riacho de Santo Antônio (PB),69.12,30.2,24.64,7.04,7.55,7.1,6.84,23.26,46.51,0,38.46,0,,2.33,4.88,,,33.46
Riacho dos Cavalos (PB),70.14,26.9,32.64,4.82,5.33,5.23,5.2,0,8.13,15.38,31.5,18.18,,0.81,,1.57,1.82,37.61
Riacho dos Machados (MG),73.45,17.8,22.06,6.56,14,9.84,10.74,62.99,0,25.42,0,19.23,3.15,,1.69,1.75,,36.99
Riacho Frio (PI),70.67,25.8,20.08,4.74,5.11,5.23,5.15,14.08,12.2,13.33,30.77,0,,3.66,,3.08,3.03,62.65
Riachuelo (RN),71.01,23.7,30.28,5.47,5.32,5.13,5.04,17.24,0,26.55,29.7,0,,1.03,2.65,0.99,,44.06
Riachuelo (SE),70.96,24.7,17.01,17.17,16.06,12.22,10.43,31.65,21.39,9.66,33.56,12.12,2.53,1.6,1.45,1.34,0.61,33.94
Rialma (GO),74.6,13.7,8.25,11.4,11.71,12.62,11.51,0,13.33,12.9,6.21,0,,,,0.62,,5.45
Rianápolis (GO),75.38,12.7,15.55,20.28,17.32,14.25,12.5,14.93,0,0,0,0,,,1.33,,1.79,8.09
Ribamar Fiquene (MA),69.65,30.5,21.84,5.74,5.72,6.28,6.21,21.74,0,13.7,22.39,0,,0.71,,1.49,3.42,36.86
Ribas do Rio Pardo (MS),74.82,18.1,10.35,22.18,23.05,27.32,25.83,5.81,8.33,21.68,9.38,16.57,1.74,0.28,2.17,1.88,0.83,9.84
Ribeira do Amparo (BA),66.66,38.8,35.59,4.51,5.01,5.18,6.98,5.62,29.13,6.02,0,10.42,1.12,0.97,3.01,0.53,0.52,55.7
Ribeira do Piauí (PI),70.48,26.4,30.47,3.64,3.96,3.93,6.44,0,0,0,20,18.18,2.13,,,,1.82,57.85
Ribeira do Pombal (BA),67.25,36.6,26.34,6.58,6.92,6.72,6.18,16.81,15.02,13.93,6.74,13.28,0.72,1.38,1.25,1.89,1.2,34.79
Ribeirão Bonito (SP),73.66,16.9,9.52,16.16,15.02,11.67,11.57,6.17,18.18,12.05,0,14.18,0.62,1.82,1.81,1.89,2.13,4.85
Ribeirão Branco (SP),72.83,18.3,12.24,14.27,22.18,15.22,15.52,18.32,9.93,19.74,15.33,33.71,,0.66,0.66,0.77,0.37,27.15
Ribeirão Cascalheira (MT),74.86,15.6,11.82,18.47,19.07,18.38,17.35,24.54,37.23,15.63,45.45,11.3,3.68,2.66,4.69,1.3,1.13,24.05
Ribeirão Claro (PR),74.92,12.8,7.45,25.69,23.69,23.68,29.05,0,20,13.7,26.49,22.47,1.43,0.67,0.68,0.66,1.12,9.98
Ribeirão Corrente (SP),73.86,16.6,9.51,13.18,16.02,11.59,16.2,0,13.51,18.52,30.3,0,,,1.85,,2.04,5.71
Ribeirão das Neves (MG),74.31,16.4,6.31,7.62,8.13,7.76,7.38,12.47,10.1,11.3,9.2,7.45,0.75,0.77,0.56,0.49,0.52,9.25
Ribeirão do Largo (BA),70.54,25.8,30.96,6.23,7.05,7.75,7.16,14.29,49.18,25.97,59.52,11.9,1.43,,,2.38,3.57,34.6
Ribeirão do Pinhal (PR),74.43,13.5,15.38,9.85,9.16,9.95,10.48,0,11.05,16.85,15.08,22.86,0.58,1.1,2.81,0.5,1.14,11.9
Ribeirão dos Índios (SP),73.52,17.1,13.92,11.62,11.65,10.94,11.82,0,0,0,0,45.45,4.76,,,,,5.73
Ribeirão do Sul (SP),74.05,16.2,7.22,14.68,18.01,19.3,18.99,23.26,0,19.61,0,22.22,,,1.96,1.72,,5.82
Ribeirão Grande (SP),73.43,17.3,13.09,23.46,24.96,16.93,14.36,9.17,0,11.36,10,11.49,,,1.14,,,11.74
Ribeirão (PE),67.68,34.5,23.29,5.98,6.33,5.71,5.84,8.91,9.05,12.92,13.62,11.29,1.4,0.57,2.58,1.17,1.13,31.16
Ribeirão Pires (SP),75.81,12.01,3.47,18.09,18.04,17.2,16.56,13.16,11.4,11.1,9.8,9.15,0.55,0.28,0.42,0.23,0.08,3.39
Ribeirão Preto (SP),75.65,16.88,2.91,32.09,32.04,30.05,29.52,10.11,11.36,9.4,10.33,9.19,0.58,0.52,0.41,0.51,0.36,2.53
Ribeirão Vermelho (MG),76.01,13.8,5.14,17.95,18.92,14.66,16.44,0,0,52.63,20.83,24.39,,,7.89,2.08,,6.17
Ribeirãozinho (MT),73.12,18.4,11.55,22.98,28.62,26.09,20.92,0,40,0,0,0,,,,,2.86,5.03
Ribeira (SP),72.83,18.3,12.48,7.14,9.64,8.86,9.88,23.26,63.83,0,0,0,,2.13,,,2.33,20.47
Ribeiro Gonçalves (PI),72.22,21.5,22.68,22.22,30.55,24.77,11.44,10.2,8.93,0,16.67,26.32,2.04,2.68,2.11,0.83,0.88,42.23
Ribeirópolis (SE),71.15,24.2,28.5,8.81,8.35,10.14,9.83,9.52,9.43,18.87,12.05,5.24,0.95,1.89,0.47,1.2,,24.36
Rifaina (SP),74.42,15.6,6.81,13.05,13.99,18.42,15.9,0,23.26,0,0,0,,,,,,5.18
Rincão (SP),74.53,15.5,7.79,12.78,12.34,10.45,10.7,21.58,15.27,0,8.62,7.75,,,0.75,0.86,,6.82
Rinópolis (SP),75.59,13.8,10.15,12.87,16.33,15.85,14.39,30.61,18.02,9.09,22.47,28.57,2.04,0.9,,1.12,,5.17
Rio Acima (MG),77.22,12.1,7.16,17.57,15.57,9.79,9.01,7.87,23.26,16.39,0,13.51,,,,,,8.3
Rio Azul (PR),74.14,13.9,4.17,19.88,21.41,22.63,21.02,21.05,0,20,15.87,0,0.53,0.59,,,0.48,14.56
Rio Bananal (ES),73.1,16.8,13.27,12.03,13.32,14.52,13.96,20,12.24,12.93,8.2,4.95,0.8,1.22,0.86,1.23,1.98,14.64
Rio Bom (PR),75.9,11.5,8.46,12.76,13.24,12.82,11.7,0,0,0,28.57,0,,,,,2.38,8.51
Rio Bonito do Iguaçu (PR),72.49,16.3,10.86,12.35,12.75,12.36,13.55,24.39,12.15,22.03,3.86,12.24,1.95,0.4,0.44,1.16,1.22,24.24
Rio Bonito (RJ),74.16,15.2,7.89,20.02,20.49,18.59,17.68,15.54,14.44,7.67,10.83,16.69,0.78,0.84,0.64,0.27,0.83,7.94
Rio Branco (AC),72.85,20.03,9.03,15.95,17.68,16.09,14.3,13.35,15.26,14.5,12.85,11.46,1.07,1.18,1.23,1.33,1.19,14.38
Rio Branco do Ivaí (PR),71.96,17.1,14.99,14.07,15.22,13.77,13.64,0,0,15.87,0,13.7,2.08,4.65,3.17,1.49,2.74,22.09
Rio Branco do Sul (PR),75.84,11.6,10.47,26.67,29.66,26.32,22.05,13.14,11.42,12.48,9.9,7.12,2.3,1.14,0.94,1.49,1.78,10.66
Rio Branco (MT),73.99,17,14.2,9.03,9.74,10.15,10.51,29.85,14.71,0,18.18,12.05,,,,1.82,1.2,8.57
Rio Brilhante (MS),76.67,15,8.11,36.41,34.08,34.94,41.24,15.43,12.77,10.23,14,11.43,2.31,2.13,0.73,1.24,1.29,9.26
Rio Casca (MG),73.79,17.3,11.19,9.22,8.49,8.69,8.37,16.39,5.75,6.29,27.78,6.99,0.55,,1.26,0.69,0.7,15.55
Rio Claro (RJ),73.07,16.9,10.23,13.66,13.16,13.2,12.45,4.98,12.99,9.39,4.95,10.64,1,0.43,0.47,,,10.76
Rio Claro (SP),76.72,13.47,3.46,32.98,33.23,30.46,29.19,10.28,10.23,6.99,11.49,11.81,0.99,0.47,0.58,0.74,0.3,2.67
Rio Crespo (RO),73.77,16.2,13.29,14.55,15.85,15.12,15.86,0,0,0,28.57,0,,,,,,28.5
Rio da Conceição (TO),68.05,32.8,14.02,6.74,6.86,6.13,5.93,,,,,,2.86,,,2.63,,40.3
Rio das Antas (SC),74.2,14.7,6,16.6,18.81,16.78,17.77,0,0,13.33,0,0,,1.18,1.33,1.41,,5.21
Rio das Flores (RJ),74.32,15,8.65,16.22,15.77,14.81,14.01,7.94,26.09,9.26,0,19.8,,0.87,,,,10.93
Rio das Ostras (RJ),76.26,10.96,3.73,102.01,88.73,47.68,23.76,8.04,12.71,8.38,12.32,9.3,0.89,0.85,1.01,0.59,0.24,5.26
Rio das Pedras (SP),75.49,14,6.14,27.35,27.19,22.97,22.11,12.85,4.47,13.36,10.2,5.15,0.86,0.22,0.45,1.53,0.26,3.59
Rio de Contas (BA),71.01,24.4,20.04,4.76,5.62,5.61,5.36,35.09,26.32,0,12.5,24.39,,,,,,32.97
Rio de Janeiro (RJ),75.69,13.02,2.88,37.01,36.62,35.69,33.65,12.72,11.36,12.08,12.83,11.22,0.77,0.77,0.71,0.68,0.66,5.01
Rio do Antônio (BA),69.38,29.3,28.44,3.97,4.23,4.21,4.13,18.02,22.06,14.93,23.26,14.6,,,,0.78,0.73,39.43
Rio do Campo (SC),73.18,16.3,5.79,17.59,17.73,16.24,15.92,0,12.2,35.29,24.69,0,,1.22,,1.23,,5.92
Rio Doce (MG),73.07,18.5,14.39,8.32,7.62,7.05,7.59,,,,,,,,,,,13.07
Rio do Fogo (RN),69.28,28.9,26.84,7.23,8.45,7.37,6.67,18.75,6.33,12.35,12.99,5.65,,1.9,1.23,,2.26,46.86
Rio do Oeste (SC),78.52,9.1,4.08,17.89,18.51,16.24,17.54,24.39,11.76,0,0,8.93,,,,,,3.11
Rio do Pires (BA),71,24.4,27.34,4.03,4.27,4.33,4.29,26.79,23.81,12.35,56.07,19.23,,,1.23,1.87,0.96,36.17
Rio do Prado (MG),73.4,17.9,24.32,4.93,4.79,5.18,4.92,28.17,0,17.54,23.26,15.15,,,,,,35.59
Rio dos Bois (TO),72.69,19.2,19.25,8.37,11.87,9.69,8.75,32.26,22.73,40,0,0,3.23,2.27,8,5.56,,28.6
Rio dos Cedros (SC),74.61,14.1,3.03,16.92,17.95,16.74,16.27,18.35,15.75,8.4,0,0,0.92,0.79,0.84,0.96,2.02,2.35
Rio dos Índios (RS),73.21,15.3,14.85,16.95,14.42,15.69,15.58,,,,,,4,,,,,22.68
Rio do Sul (SC),78.61,9,2.81,26.63,29.73,24.76,22.08,14.97,5.76,6.31,9.72,13.26,0.43,0.23,0.21,0.32,0.11,2.03
Rio Espera (MG),73.03,18.5,13.32,5.04,4.86,4.79,4.43,0,25,27.03,93.75,0,,,,,4,37.16
Rio Formoso (PE),73.56,17.4,22.49,7.83,7.83,7.71,7.84,14.46,10.13,8.47,20.29,14.88,0.96,1.27,1.98,1.45,2.38,34.33
Rio Fortuna (SC),75.98,12.2,2.89,39.09,40.81,36.15,33.36,0,0,13.33,0,0,1.92,,,,,0.37
Rio Grande da Serra (SP),74.36,15.7,5.41,9.4,8.58,8,7.86,16.21,18.1,8.5,4.99,8,0.65,0.6,0.42,0.67,0.64,7.02
Rio Grande do Piauí (PI),71.03,24.8,29.77,4.23,4.58,4.58,4.33,13.33,24.1,0,0,0,,,4.44,1.43,1.43,45.13
Rio Grande (RS),76.66,10.6,4.62,33.08,27.96,25.26,24.44,11.92,11.49,15.03,14.4,11.56,0.47,0.78,0.65,0.49,0.58,6.99
Riolândia (SP),74.04,16.2,13.01,10.88,10.25,10.23,11.39,15.04,22.22,0,0,9.09,1.5,0.74,0.71,1.82,,6.24
Rio Largo (AL),72.25,22.8,18.28,7.4,7.65,8.17,8.61,16.63,10.2,19.59,11.65,12.65,2.16,2.3,1.37,1.41,2.18,24.26
Rio Manso (MG),73.11,18.4,11.58,9.15,9.04,8.79,9.45,0,23.26,0,0,0,2.38,,,,1.82,7.55
Rio Maria (PA),73.23,18.1,16.04,12.54,13.49,14.69,15.25,25.36,6.49,9.65,7.3,14.65,0.72,2.6,1.93,3.28,2.93,22.47
Rio Negrinho (SC),75.89,12.4,3.84,17.67,18.48,17.12,15.83,9.28,11.97,8.2,3.25,8.4,0.37,1.03,0.16,1.3,0.67,5.02
Rio Negro (MS),77.15,14.2,12.95,11.71,12.44,13.53,12.79,,,,,,3.51,2.5,2.33,1.82,5.17,12.4
Rio Negro (PR),76.75,10.5,3.54,21.88,21.38,20.89,19.99,14.49,6.01,12.38,5.46,9.85,1.45,0.3,0.5,0.27,0.74,7.2
Rio Novo do Sul (ES),75.21,13.8,9.03,10.93,11.08,11.52,10.53,16,6.62,22.39,14.6,0,1.6,2.65,,1.46,1.29,9
